,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
1,MBF-to-Cln3 -> 0to1 | SBF-to-Cln3 -> 0to1,15423,0,15423
2,MBF-to-Cln3 -> 0to1 | SBF-to-Cln3 -> 0to-1,11727,0,11727
3,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Cln3 -> 0to1",16698,0,16698
4,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Cln3 -> 0to-1",11781,0,11781
5,MBF-to-Cln3 -> 0to1 | Cdh1-to-Cln3 -> 0to1,21902,0,21902
6,MBF-to-Cln3 -> 0to1 | Cdh1-to-Cln3 -> 0to-1,14093,0,14093
7,MBF-to-Cln3 -> 0to1 | Swi5-to-Cln3 -> 0to1,22203,0,22203
8,MBF-to-Cln3 -> 0to1 | Swi5-to-Cln3 -> 0to-1,12291,0,12291
9,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Cln3 -> 0to1,22048,0,22048
10,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Cln3 -> 0to-1,12114,0,12114
11,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cln3 -> 0to1",14799,0,14799
12,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cln3 -> 0to-1",12761,0,12761
13,MBF-to-Cln3 -> 0to1 | Sic1-to-Cln3 -> 0to1,22247,0,22247
14,MBF-to-Cln3 -> 0to1 | Sic1-to-Cln3 -> 0to-1,12284,0,12284
15,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cln3 -> 0to1",20697,0,20697
16,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cln3 -> 0to-1",11719,0,11719
17,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cln3 -> 0to1",21685,0,21685
18,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cln3 -> 0to-1",12368,0,12368
19,MBF-to-Cln3 -> 0to1 | Cln3-to-MBF -> 1to0,2232,0,2232
20,MBF-to-Cln3 -> 0to1 | Cln3-to-MBF -> 1to-1,3240,0,3240
21,MBF-to-Cln3 -> 0to1 | SBF-to-MBF -> 0to1,12611,0,12611
22,MBF-to-Cln3 -> 0to1 | SBF-to-MBF -> 0to-1,2957,0,2957
23,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-MBF -> 0to1",13377,0,13377
24,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-MBF -> 0to-1",1975,0,1975
25,MBF-to-Cln3 -> 0to1 | Cdh1-to-MBF -> 0to1,197184,0,197184
26,MBF-to-Cln3 -> 0to1 | Cdh1-to-MBF -> 0to-1,9204,0,9204
27,MBF-to-Cln3 -> 0to1 | Swi5-to-MBF -> 0to1,189060,0,189060
28,MBF-to-Cln3 -> 0to1 | Swi5-to-MBF -> 0to-1,2172,0,2172
29,MBF-to-Cln3 -> 0to1 | Cdc2014-to-MBF -> 0to1,186687,0,186687
30,MBF-to-Cln3 -> 0to1 | Cdc2014-to-MBF -> 0to-1,2156,0,2156
31,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-MBF -> 0to1",5857,0,5857
32,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-MBF -> 0to-1",948,0,948
33,MBF-to-Cln3 -> 0to1 | Sic1-to-MBF -> 0to1,203443,0,203443
34,MBF-to-Cln3 -> 0to1 | Sic1-to-MBF -> 0to-1,8602,0,8602
35,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-MBF -> -1to0",108283,0,108283
36,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-MBF -> -1to1",19145,0,19145
37,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-MBF -> 0to1",21863,0,21863
38,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-MBF -> 0to-1",1700,0,1700
39,MBF-to-Cln3 -> 0to1 | Cln3-to-SBF -> 1to0,6806,0,6806
40,MBF-to-Cln3 -> 0to1 | Cln3-to-SBF -> 1to-1,5723,0,5723
41,MBF-to-Cln3 -> 0to1 | MBF-to-SBF -> 0to1,12070,0,12070
42,MBF-to-Cln3 -> 0to1 | MBF-to-SBF -> 0to-1,6656,0,6656
43,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-SBF -> 0to1",51443,0,51443
44,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-SBF -> 0to-1",9971,0,9971
45,MBF-to-Cln3 -> 0to1 | Cdh1-to-SBF -> 0to1,11665,0,11665
46,MBF-to-Cln3 -> 0to1 | Cdh1-to-SBF -> 0to-1,10683,0,10683
47,MBF-to-Cln3 -> 0to1 | Swi5-to-SBF -> 0to1,13903,0,13903
48,MBF-to-Cln3 -> 0to1 | Swi5-to-SBF -> 0to-1,9983,0,9983
49,MBF-to-Cln3 -> 0to1 | Cdc2014-to-SBF -> 0to1,13892,0,13892
50,MBF-to-Cln3 -> 0to1 | Cdc2014-to-SBF -> 0to-1,9976,0,9976
51,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-SBF -> 0to1",12148,0,12148
52,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-SBF -> 0to-1",10274,0,10274
53,MBF-to-Cln3 -> 0to1 | Sic1-to-SBF -> 0to1,11739,0,11739
54,MBF-to-Cln3 -> 0to1 | Sic1-to-SBF -> 0to-1,8405,0,8405
55,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-SBF -> -1to0",12130,0,12130
56,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-SBF -> -1to1",15432,0,15432
57,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-SBF -> 0to1",12950,0,12950
58,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-SBF -> 0to-1",10043,0,10043
59,"MBF-to-Cln3 -> 0to1 | Cln3-to-Cln1,2 -> 0to1",12528,0,12528
60,"MBF-to-Cln3 -> 0to1 | Cln3-to-Cln1,2 -> 0to-1",11884,0,11884
61,"MBF-to-Cln3 -> 0to1 | MBF-to-Cln1,2 -> 0to1",12530,0,12530
62,"MBF-to-Cln3 -> 0to1 | MBF-to-Cln1,2 -> 0to-1",11223,0,11223
63,"MBF-to-Cln3 -> 0to1 | SBF-to-Cln1,2 -> 1to0",6050,0,6050
64,"MBF-to-Cln3 -> 0to1 | SBF-to-Cln1,2 -> 1to-1",7533,0,7533
