,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
1,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cln3 -> 0to1",15423,0,15423
2,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cln3 -> 0to-1",11727,0,11727
3,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Cln3 -> 0to1",16698,0,16698
4,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Cln3 -> 0to-1",11781,0,11781
5,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Cln3 -> 0to1",21902,0,21902
6,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Cln3 -> 0to-1",14093,0,14093
7,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cln3 -> 0to1",22203,0,22203
8,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cln3 -> 0to-1",12291,0,12291
9,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Cln3 -> 0to1",22048,0,22048
10,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Cln3 -> 0to-1",12114,0,12114
11,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cln3 -> 0to1",14799,0,14799
12,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cln3 -> 0to-1",12761,0,12761
13,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cln3 -> 0to1",22247,0,22247
14,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cln3 -> 0to-1",12284,0,12284
15,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cln3 -> 0to1",20697,0,20697
16,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cln3 -> 0to-1",11719,0,11719
17,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cln3 -> 0to1",21685,0,21685
18,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cln3 -> 0to-1",12368,0,12368
19,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-MBF -> 1to0",2232,0,2232
20,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-MBF -> 1to-1",3240,0,3240
21,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-MBF -> 0to1",12611,0,12611
22,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-MBF -> 0to-1",2957,0,2957
23,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-MBF -> 0to1",13377,0,13377
24,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-MBF -> 0to-1",1975,0,1975
25,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-MBF -> 0to1",10820,0,10820
26,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-MBF -> 0to-1",9204,0,9204
27,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-MBF -> 0to1",13509,0,13509
28,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-MBF -> 0to-1",2172,0,2172
29,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-MBF -> 0to1",12339,0,12339
30,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-MBF -> 0to-1",2156,0,2156
31,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-MBF -> 0to1",5857,0,5857
32,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-MBF -> 0to-1",948,0,948
33,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-MBF -> 0to1",12574,0,12574
34,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-MBF -> 0to-1",8602,0,8602
35,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-MBF -> -1to0",11958,0,11958
36,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-MBF -> -1to1",19145,0,19145
37,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-MBF -> 0to1",21863,0,21863
38,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-MBF -> 0to-1",1700,0,1700
39,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-SBF -> 1to0",6806,0,6806
40,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-SBF -> 1to-1",5723,0,5723
41,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-SBF -> 0to1",12070,0,12070
42,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-SBF -> 0to-1",6656,0,6656
43,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-SBF -> 0to1",12868,0,12868
44,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-SBF -> 0to-1",9971,0,9971
45,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-SBF -> 0to1",11665,0,11665
46,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-SBF -> 0to-1",10683,0,10683
47,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-SBF -> 0to1",13903,0,13903
48,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-SBF -> 0to-1",9983,0,9983
49,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-SBF -> 0to1",13892,0,13892
